 Precipitation Required to End Current Drought
 January 2014
A drought is considered to be ameliorated when the PHDI is
        raised to -2.0, and ended when above -0.5         
-9.99 indicates that PHDI is currently above -2.0
         1-Mon    2-Mon    3-Mon    4-Mon    5-Mon    6-Mon
00101    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00102    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00103    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00104    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00105    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00106    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00107    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00108    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00201     4.12     5.25     6.15     6.56     6.99     7.34
00202    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00203     4.45     5.94     7.18     7.71     7.74     8.05
00204    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00205    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00206     3.49     4.33     5.31     5.57     5.83     5.98
00207     3.30     4.15     4.74     4.97     5.32     5.85
00301    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00302    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00303    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00304    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00305    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00306    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00307    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00308    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00309    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00401    20.49    25.46    28.90    29.88    29.80    29.14
00402    22.95    28.38    31.11    31.78    31.17    30.10
00403    10.54    13.18    14.99    15.69    16.09    16.30
00404    19.13    22.35    24.28    24.43    23.27    22.34
00405    17.45    21.15    23.52    24.25    23.46    22.66
00406    19.60    22.85    24.28    23.49    22.14    21.03
00407     7.31     8.64     9.22     9.39     9.62     9.59
00501     2.19     2.71     3.77     5.35     7.34     8.86
00502    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00503    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00504    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00505    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00601    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00602    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00603     9.80    11.82    15.88    19.68    23.45    26.52
00701    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00702    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00801    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00802    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00803    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00804    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00805    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00806    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00807    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00901    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00902    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00903    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00904    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00905    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00906    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00907    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00908    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
00909    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01001    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01002     6.15     7.37     9.06    10.95    13.35    15.46
01003     5.95     7.35     9.15    11.05    13.19    15.04
01004     9.28    11.24    13.18    14.47    16.19    17.77
01005     6.21     7.26     8.29     9.10     9.96    10.76
01006     4.85     5.42     6.44     7.49     8.83    10.14
01007     4.44     5.24     6.11     6.81     7.69     8.54
01008     2.16     2.44     2.89     3.51     4.87     6.31
01009     5.43     6.23     7.06     7.88     9.20    10.59
01010     4.40     5.63     6.65     7.58     9.03    10.52
01101    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01102    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01103     6.66     7.33     9.97    13.56    17.55    21.72
01104    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01105    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
