ClDiv,1-Mon,,2-Mon,,3-Mon,4-Mon,,5-Mon,6-Mon
101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
102,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
201,4.12,,5.25,,6.15,6.56,,6.99,7.34
202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
203,4.45,,5.94,,7.18,7.71,,7.74,8.05
204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
206,3.49,,4.33,,5.31,5.57,,5.83,5.98
207,3.3,,4.15,,4.74,4.97,,5.32,5.85
301,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
304,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
305,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
306,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
307,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
308,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
309,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
401,20.49,,25.46,,28.9,29.88,,29.8,29.14
402,22.95,,28.38,,31.11,31.78,,31.17,30.1
403,10.54,,13.18,,14.99,15.69,,16.09,16.3
404,19.13,,22.35,,24.28,24.43,,23.27,22.34
405,17.45,,21.15,,23.52,24.25,,23.46,22.66
406,19.6,,22.85,,24.28,23.49,,22.14,21.03
407,7.31,,8.64,,9.22,9.39,,9.62,9.59
501,2.19,,2.71,,3.77,5.35,,7.34,8.86
502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
505,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
603,9.8,,11.82,,15.88,19.68,,23.45,26.52
701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
801,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
902,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
904,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
905,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
906,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
907,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
908,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
909,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1002,6.15,,7.37,,9.06,10.95,,13.35,15.46
1003,5.95,,7.35,,9.15,11.05,,13.19,15.04
1004,9.28,,11.24,,13.18,14.47,,16.19,17.77
1005,6.21,,7.26,,8.29,9.1,,9.96,10.76
1006,4.85,,5.42,,6.44,7.49,,8.83,10.14
1007,4.44,,5.24,,6.11,6.81,,7.69,8.54
1008,2.16,,2.44,,2.89,3.51,,4.87,6.31
1009,5.43,,6.23,,7.06,7.88,,9.2,10.59
1010,4.4,,5.63,,6.65,7.58,,9.03,10.52
1101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1102,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1103,6.66,,7.33,,9.97,13.56,,17.55,21.72
1104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1109,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1203,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1208,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1209,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1301,4.26,,5.15,,6.92,9.41,,12.96,17.32
1302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1304,4.22,,4.94,,6.81,9.4,,13.06,17.51
1305,4.13,,4.79,,6.63,9.49,,13.55,18.12
1306,5.41,,6.02,,8.04,11.21,,14.83,19.23
1307,3.88,,4.53,,6.51,9.26,,13.13,17.74
1308,4.66,,5.14,,7.1,10.08,,14.2,18.62
1309,6.32,,6.78,,9.06,12.34,,16.31,20.61
1401,3.07,,3.53,,5.25,7.32,,10.8,14.14
1402,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1404,2.43,,2.85,,4.43,6.44,,9.52,12.72
1405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1406,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1407,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1408,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1409,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1501,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1605,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1606,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1607,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1608,9.58,,13.93,,18.01,21.87,,26.09,31.26
1609,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1703,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1801,7.81,,10.59,,14.39,17.34,,20.59,23.68
1802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1808,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1902,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2002,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2003,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2004,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2005,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2006,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2007,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2008,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2009,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2010,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2102,2.76,,3.03,,3.82,5.64,,8.42,12.41
2103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2107,2.57,,3.24,,4.73,6.91,,10.08,13.99
2108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2109,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2203,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2208,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2209,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2210,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2301,4.94,,5.51,,7.71,10.82,,15.22,19.97
2302,5.42,,6.37,,9.04,12.35,,16.51,20.48
2303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2304,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2305,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2306,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2401,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2402,3.42,,4.02,,5.18,6.46,,8.42,10.86
2403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2404,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2406,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2407,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2501,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2505,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2506,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2507,3.11,,3.5,,4.93,7.07,,10.57,13.7
2508,2.72,,3.42,,5.29,7.7,,11.49,15.38
2509,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2601,6.65,,7.53,,8.01,8.33,,9.02,9.88
2602,3.69,,4.52,,5.62,6.57,,7.71,8.76
2603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2801,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
