MSA,GDP_2012,Rank_2012
"Abilene, TX","5,993",253
"Akron, OH","29,466",80
"Albany, GA","5,024",290
"Albany-Lebanon, OR","3,288",362
"Albany-Schenectady-Troy, NY","42,479",58
"Albuquerque, NM","38,784",64
"Alexandria, LA","5,701",260
"Allentown-Bethlehem-Easton, PA-NJ","31,988",74
"Altoona, PA","4,527",310
"Amarillo, TX","10,761",176
"Ames, IA","4,544",307
"Anchorage, AK","28,616",81
"Ann Arbor, MI","19,310",114
"Anniston-Oxford, AL","3,770",341
"Appleton, WI","10,383",181
"Asheville, NC","15,003",137
"Athens-Clarke County, GA","6,839",227
"Atlanta-Sandy Springs-Marietta, GA","294,589",10
"Atlantic City-Hammonton, NJ","13,185",155
"Auburn-Opelika, AL","4,175",326
"Augusta-Richmond County, GA-SC","20,828",104
"Austin-Round Rock-San Marcos, TX","98,677",32
"Bakersfield-Delano, CA","34,268",69
"Baltimore-Towson, MD","157,260",19
"Bangor, ME","5,709",258
"Barnstable Town, MA","8,595",201
"Baton Rouge, LA","47,709",54
"Battle Creek, MI","5,071",285
"Bay City, MI","3,003",369
"Beaumont-Port Arthur, TX","23,548",93
"Beckley, WV","4,610",305
"Bellingham, WA","9,888",187
"Bend, OR","6,197",245
"Billings, MT","8,505",202
"Binghamton, NY","8,246",206
"Birmingham-Hoover, AL","58,992",50
"Bismarck, ND","6,153",246
"Blacksburg-Christiansburg-Radford, VA","5,682",262
"Bloomington-Normal, IL","10,626",177
"Bloomington, IN","6,268",241
"Bloomsburg-Berwick, PA","3,538",353
"Boise City-Nampa, ID","27,455",86
"Boston-Cambridge-Quincy, MA-NH","336,232",9
"Boulder, CO","20,332",111
"Bowling Green, KY","5,401",272
"Bremerton-Silverdale, WA","9,132",197
"Bridgeport-Stamford-Norwalk, CT","86,338",38
"Brownsville-Harlingen, TX","8,499",203
"Brunswick, GA","3,362",359
"Buffalo-Niagara Falls, NY","47,057",56
"Burlington, NC","4,878",294
"Burlington-South Burlington, VT","11,674",167
"California-Lexington Park, MD","5,249",279
"Canton-Massillon, OH","14,044",144
"Cape Coral-Fort Myers, FL","20,906",103
"Cape Girardeau-Jackson, MO-IL","3,571",352
"Carbondale, IL","4,349",317
"Carson City, NV","2,713",372
"Casper, WY","6,694",232
"Cedar Rapids, IA","14,844",138
"Chambersburg, PA","4,282",321
"Champaign-Urbana, IL","9,525",193
"Charleston, WV","13,294",152
