Metropolitan Statistical Area,CBSA,Total  persons
"Abilene, TX",10180,"165,252"
"Akron, OH",10420,"703,200"
"Albany, GA",10500,"157,308"
"Albany-Schenectady-Troy, NY",10580,"870,716"
"Albuquerque, NM",10740,"887,077"
"Alexandria, LA",10780,"153,922"
"Allentown-Bethlehem-Easton, PA-NJ",10900,"821,173"
"Altoona, PA",11020,"127,089"
"Amarillo, TX",11100,"249,881"
"Ames, IA",11180,"89,542"
"Anchorage, AK",11260,"380,821"
"Anderson, IN",11300,"131,636"
"Anderson, SC",11340,"187,126"
"Ann Arbor, MI",11460,"344,791"
"Anniston-Oxford, AL",11500,"118,572"
"Appleton, WI",11540,"225,666"
"Asheville, NC",11700,"424,858"
"Athens-Clarke County, GA",12020,"192,541"
"Atlanta-Sandy Springs-Marietta, GA",12060,"5,268,860"
"Atlantic City-Hammonton, NJ",12100,"274,549"
"Auburn-Opelika, AL",12220,"140,247"
"Augusta-Richmond County, GA-SC",12260,"556,877"
"Austin-Round Rock-San Marcos, TX",12420,"1,716,289"
"Bakersfield-Delano, CA",12540,"839,631"
"Baltimore-Towson, MD",12580,"2,710,489"
"Bangor, ME",12620,"153,923"
"Barnstable Town, MA",12700,"215,888"
"Baton Rouge, LA",12940,"802,484"
"Battle Creek, MI",12980,"136,146"
"Bay City, MI",13020,"107,771"
"Beaumont-Port Arthur, TX",13140,"388,745"
"Bellingham, WA",13380,"201,140"
"Bend, OR",13460,"157,733"
"Billings, MT",13740,"158,050"
"Binghamton, NY",13780,"251,725"
"Birmingham-Hoover, AL",13820,"1,128,047"
"Bismarck, ND",13900,"108,779"
"Blacksburg-Christiansburg-Radford, VA",13980,"162,958"
"Bloomington, IN",14020,"192,714"
"Bloomington-Normal, IL",14060,"169,572"
"Boise City-Nampa, ID",14260,"616,561"
"Boston-Cambridge-Quincy, MA-NH",14460,"4,552,402"
"Boulder, CO",14500,"294,567"
"Bowling Green, KY",14540,"125,953"
"Bremerton-Silverdale, WA",14600,"251,133"
"Bridgeport-Stamford-Norwalk, CT",14740,"916,829"
"Brownsville-Harlingen, TX",14860,"406,220"
"Brunswick, GA",15180,"112,370"
"Buffalo-Niagara Falls, NY",15260,"1,135,509"
"Burlington, NC",15380,"151,131"
"Burlington-South Burlington, VT",15500,"211,261"
"Canton-Massillon, OH",15540,"404,422"
"Cape Coral-Fort Myers, FL",15940,"618,754"
"Cape Girardeau-Jackson, MO-IL",15980,"96,275"
"Carson City, NV",16020,"55,274"
"Casper, WY",16180,"75,450"
"Cedar Rapids, IA",16220,"257,940"
"Champaign-Urbana, IL",16300,"231,891"
"Charleston, WV",16580,"304,284"
"Charleston-North Charleston-Summerville, SC",16620,"664,607"
"Charlotte-Gastonia-Rock Hill, NC-SC",16700,"1,758,038"
"Charlottesville, VA",16740,"201,559"
"Chattanooga, TN-GA",16820,"528,143"
"Cheyenne, WY",16860,"91,738"
"Chicago-Joliet-Naperville, IL-IN-WI",16940,"9,461,105"
"Chico, CA",16980,"220,000"
"Cincinnati-Middletown, OH-KY-IN",17020,"2,130,151"
"Clarksville, TN-KY",17140,"273,949"
"Cleveland, TN",17300,"115,788"
"Cleveland-Elyria-Mentor, OH",17420,"2,077,240"
"Coeur d'Alene, ID",17460,"138,494"
"College Station-Bryan, TX",17660,"228,660"
"Colorado Springs, CO",17780,"645,613"
"Columbia, MO",17820,"172,786"
"Columbia, SC",17860,"767,598"
"Columbus, GA-AL",17900,"294,865"
"Columbus, IN",17980,"76,794"
"Columbus, OH",18020,"1,836,536"
"Corpus Christi, TX",18140,"428,185"
"Corvallis, OR",18580,"85,579"
"Crestview-Fort Walton Beach-Destin, FL",18700,"180,822"
"Cumberland, MD-WV",19060,"103,299"
"Dallas-Fort Worth-Arlington, TX",19100,"6,371,773"
"Dalton, GA",19140,"142,227"
"Danville, IL",19180,"81,625"
"Danville, VA",19260,"106,561"
"Davenport-Moline-Rock Island, IA-IL",19340,"379,690"
"Dayton, OH",19380,"841,502"
"Decatur, AL",19460,"153,829"
"Decatur, IL",19500,"110,768"
"Deltona-Daytona Beach-Ormond Beach, FL",19660,"494,593"
"Denver-Aurora-Broomfield, CO",19740,"2,543,482"
"Des Moines-West Des Moines, IA",19780,"569,633"
"Detroit-Warren-Livonia, MI",19820,"4,296,250"
"Dothan, AL",20020,"145,639"
"Dover, DE",20100,"162,310"
"Dubuque, IA",20220,"93,653"
"Duluth, MN-WI",20260,"279,771"
"Durham-Chapel Hill, NC",20500,"504,357"
"Eau Claire, WI",20740,"161,151"
"El Centro, CA",20940,"174,528"
"Elizabethtown, KY",21060,"119,736"
"Elkhart-Goshen, IN",21140,"197,559"
"Elmira, NY",21300,"88,830"
"El Paso, TX",21340,"800,647"
"Erie, PA",21500,"280,566"
"Eugene-Springfield, OR",21660,"351,715"
"Evansville, IN-KY",21780,"358,676"
"Fairbanks, AK",21820,"97,581"
"Fargo, ND-MN",22020,"208,777"
"Farmington, NM",22140,"130,044"
"Fayetteville, NC",22180,"366,383"
"Fayetteville-Springdale-Rogers, AR-MO",22220,"463,204"
"Flagstaff, AZ",22380,"134,421"
"Flint, MI",22420,"425,790"
"Florence, SC",22500,"205,566"
"Florence-Muscle Shoals, AL",22520,"147,137"
"Fond du Lac, WI",22540,"101,633"
"Fort Collins-Loveland, CO",22660,"299,630"
"Fort Smith, AR-OK",22900,"298,592"
"Fort Wayne, IN",23020,"416,257"
"Fresno, CA",23060,"930,450"
"Gadsden, AL",23420,"104,430"
"Gainesville, FL",23460,"264,275"
"Gainesville, GA",23540,"179,684"
"Glens Falls, NY",23580,"128,923"
"Goldsboro, NC",24020,"122,623"
"Grand Forks, ND-MN",24140,"98,461"
"Grand Junction, CO",24220,"146,723"
"Grand Rapids-Wyoming, MI",24300,"774,160"
"Great Falls, MT",24340,"81,327"
"Greeley, CO",24500,"252,825"
"Green Bay, WI",24540,"306,241"
"Greensboro-High Point, NC",24580,"723,801"
"Greenville, NC",24660,"189,510"
"Greenville-Mauldin-Easley, SC",24780,"636,986"
"Gulfport-Biloxi, MS",24860,"248,820"
"Hagerstown-Martinsburg, MD-WV",25060,"269,140"
"Hanford-Corcoran, CA",25180,"152,982"
"Harrisburg-Carlisle, PA",25260,"549,475"
"Harrisonburg, VA",25420,"125,228"
"Hartford-West Hartford-East Hartford, CT",25500,"1,212,381"
"Hattiesburg, MS",25540,"142,842"
"Hickory-Lenoir-Morganton, NC",25620,"365,497"
"Hinesville-Fort Stewart, GA",25860,"77,917"
"Holland-Grand Haven, MI",25980,"263,801"
"Honolulu, HI",26100,"953,207"
"Hot Springs, AR",26180,"96,024"
"Houma-Bayou Cane-Thibodaux, LA",26300,"208,178"
"Houston-Sugar Land-Baytown, TX",26380,"5,946,800"
"Huntington-Ashland, WV-KY-OH",26420,"287,702"
"Huntsville, AL",26580,"417,593"
"Idaho Falls, ID",26620,"130,374"
"Indianapolis-Carmel, IN",26820,"1,756,241"
"Iowa City, IA",26900,"152,586"
"Ithaca, NY",26980,"101,564"
"Jackson, MI",27060,"160,248"
"Jackson, MS",27100,"539,057"
"Jackson, TN",27140,"115,425"
"Jacksonville, FL",27180,"1,345,596"
"Jacksonville, NC",27260,"177,772"
"Janesville, WI",27340,"160,331"
"Jefferson City, MO",27500,"149,807"
"Johnson City, TN",27620,"198,716"
"Johnstown, PA",27740,"143,679"
"Jonesboro, AR",27780,"121,026"
"Joplin, MO",27860,"175,518"
"Kalamazoo-Portage, MI",27900,"326,589"
"Kankakee-Bradley, IL",28020,"113,449"
"Kansas City, MO-KS",28100,"2,035,334"
"Kennewick-Pasco-Richland, WA",28140,"253,340"
"Killeen-Temple-Fort Hood, TX",28420,"405,300"
"Kingsport-Bristol-Bristol, TN-VA",28660,"309,544"
"Kingston, NY",28700,"182,493"
"Knoxville, TN",28740,"698,030"
"Kokomo, IN",28940,"98,688"
"La Crosse, WI-MN",29020,"133,665"
"Lafayette, IN",29100,"201,789"
"Lafayette, LA",29140,"273,738"
"Lake Charles, LA",29180,"199,607"
"Lake Havasu City-Kingman, AZ",29340,"200,186"
"Lakeland-Winter Haven, FL",29420,"602,095"
