Rank,Country,F_Rate
8,Afghanistan,5.54
190,Albania,1.49
71,Algeria,2.78
57,American Samoa,3.04
209,Andorra,1.37
10,Angola,5.49
165,Anguilla,1.75
124,Antigua and Barbuda,2.04
97,Argentina,2.27
206,Armenia,1.39
149,Aruba,1.84
162,Australia,1.77
201,Austria,1.42
137,Azerbaijan,1.92
132,Bahamas,1.97
152,Bahrain,1.83
83,Bangladesh,2.5
172,Barbados,1.68
193,Belarus,1.46
176,Belgium,1.65
55,Belize,3.08
17,Benin,5.13
134,Bermuda,1.96
118,Bhutan,2.07
67,Bolivia,2.87
218,Bosnia and Herzegovina,1.25
85,Botswana,2.41
153,Brazil,1.81
220,British Virgin Islands,1.24
151,Brunei,1.83
199,Bulgaria,1.43
5,Burkina Faso,6
102,Burma,2.21
6,Burundi,5.99
89,Cape Verde,2.39
73,Cambodia,2.72
40,Cameroon,4
180,Canada,1.59
147,Cayman Islands,1.86
30,Central African Republic,4.52
24,Chad,4.8
148,Chile,1.85
184,China,1.55
111,Colombia,2.1
42,Comoros,3.93
20,Democratic Republic of the Congo,4.95
11,Republic of the Congo,5.49
96,Cook Islands,2.31
139,Costa Rica,1.91
44,C“te d'Ivoire,3.73
197,Croatia,1.45
196,Cuba,1.46
115,Curacao,2.09
195,Cyprus,1.46
214,Czech Republic,1.29
167,Denmark,1.73
80,Djibouti,2.55
119,Dominica,2.06
88,Dominican Republic,2.39
95,Ecuador,2.33
65,Egypt,2.9
130,El Salvador,1.99
25,Equatorial Guinea,4.74
35,Eritrea,4.25
198,Estonia,1.45
14,Ethiopia,5.31
87,Faroe Islands,2.39
82,Fiji,2.54
166,Finland,1.73
117,France,2.08
133,French Southern Territories,1.97
29,Gabon,4.52
41,Gambia,3.98
31,Gaza Strip,4.41
194,Georgia,1.46
200,Germany,1.42
38,Ghana,4.12
136,Gibraltar,1.93
205,Greece,1.4
116,Greenland,2.08
109,Grenada,2.12
84,Guam,2.41
54,Guatemala,3.08
185,Guernsey,1.54
19,Guinea,4.99
32,Guinea Bissau,4.37
101,Guyana,2.21
66,Haiti,2.88
63,Honduras,2.94
221,Hong Kong,1.11
204,Hungary,1.41
142,Iceland,1.88
81,India,2.55
104,Indonesia,2.2
146,Iran,1.86
46,Iraq,3.5
128,Ireland,2.01
135,Isle of Man,1.95
76,Israel,2.65
203,Italy,1.41
114,Jamaica,2.09
208,Japan,1.39
174,Jersey,1.66
50,Jordan,3.32
90,Kazakhstan,2.38
43,Kenya,3.76
77,Kiribati,2.63
131,North Korea,1.99
219,South Korea,1.24
79,Kuwait,2.56
74,Kyrgyzstan,2.71
60,Laos,2.98
210,Latvia,1.34
164,Lebanon,1.75
69,Lesotho,2.83
21,Liberia,4.92
112,Libya,2.09
171,Liechtenstein,1.69
217,Lithuania,1.28
161,Luxembourg,1.77
223,Macau,0.93
179,Macedonia,1.59
33,Madagascar,4.36
15,Malawi,5.26
78,Malaysia,2.61
156,Maldives,1.78
2,Mali,6.25
186,Malta,1.53
52,Marshall Islands,3.29
36,Mauritania,4.15
157,Mauritius,1.78
99,Mexico,2.25
75,Federated States of Micronesia,2.68
183,Moldova,1.55
188,Monaco,1.51
105,Mongolia,2.18
216,Montserrat,1.28
106,Morocco,2.17
12,Mozambique,5.34
94,Namibia,2.33
59,Nauru,2.98
93,Nepal,2.36
154,Netherlands,1.78
126,New Caledonia,2.02
120,New Zealand,2.06
125,Nicaragua,2.03
1,Niger,7.03
13,Nigeria,5.31
122,Northern Mariana Islands,2.05
159,Norway,1.77
68,Oman,2.86
62,Pakistan,2.96
168,Palau,1.72
86,Panama,2.4
51,Papua New Guinea,3.31
129,Paraguay,2.01
98,Peru,2.25
53,Philippines,3.1
212,Poland,1.32
189,Portugal,1.51
177,Puerto Rico,1.64
138,Qatar,1.92
213,Romania,1.31
178,Russia,1.61
26,Rwanda,4.71
181,Saint Helena,1.57
155,Saint Kitts and Nevis,1.78
158,Saint Lucia,1.78
182,Saint Pierre and Miquelon,1.55
144,Saint Vincent and the Grenadines,1.87
58,Samoa,3.03
192,San Marino,1.48
23,Sao Tome and Principe,4.81
103,Saudi Arabia,2.21
27,Senegal,4.61
202,Republic of Serbia,1.41
141,Seychelles,1.89
22,Sierra Leone,4.87
224,Singapore,0.79
113,Sint Maarten,2.09
207,Slovakia,1.39
211,Slovenia,1.32
49,Solomon Islands,3.44
3,Somalia,6.17
100,South Africa,2.25
9,South Sudan,5.54
191,Spain,1.48
107,Sri Lanka,2.15
39,Sudan,4.05
123,Suriname,2.04
61,Swaziland,2.96
173,Sweden,1.67
187,Switzerland,1.53
72,Syria,2.77
222,Taiwan,1.11
70,Tajikistan,2.8
18,Tanzania,5.01
175,Thailand,1.66
16,Timor,5.22
28,Togo,4.58
48,Tonga,3.46
169,Trinidad and Tobago,1.71
127,Tunisia,2.01
110,Turkey,2.1
108,Turkmenistan,2.12
170,Turks and Caicos Islands,1.7
56,Tuvalu,3.06
4,Uganda,6.06
215,Ukraine,1.29
91,United Arab Emirates,2.37
140,United Kingdom,1.9
121,United States,2.06
145,Uruguay,1.86
150,Uzbekistan,1.83
47,Vanuatu,3.47
92,Venezuela,2.37
143,Vietnam,1.87
160,Virgin Islands,1.77
163,Wallis and Futuna,1.77
64,West Bank,2.91
37,Western Sahara,4.15
34,Yemen,4.27
7,Zambia,5.81
45,Zimbabwe,3.58
