State/Territory,Army National Guard,Air National Guard,Total
Alabama,"11,023","2,232","13,255"
Alaska,"1,879","2,059","3,938"
Arizona,"5,206","2,421","7,627"
Arkansas,"7,463","1,873","9,336"
California,"16,450","4,637","21,087"
Colorado,"4,023","1,481","5,504"
Connecticut,"3,593","1,166","4,759"
Delaware,"1,587","1,014","2,601"
Florida,"9,937","1,793","11,730"
Georgia,"11,100","2,769","13,869"
Hawaii,"3,039","2,287","5,326"
Idaho,"3,456","1,307","4,763"
Illinois,"10,050","2,876","12,926"
Indiana,"12,168","1,819","13,987"
Iowa,"7,370","1,943","9,313"
Kansas,"5,096","2,277","7,373"
Kentucky,"7,281","1,182","8,463"
Louisiana,"9,457","1,426","10,883"
Maine,"2,077","1,118","3,195"
Maryland,"4,792","1,431","6,223"
Massachusetts,"6,218","2,153","8,371"
Michigan,"8,788","2,546","11,334"
Minnesota,"10,974","2,246","13,220"
Mississippi,"9,678","2,394","12,072"
Missouri,"9,050","2,403","11,453"
Montana,"2,787","1,039","3,826"
Nebraska,"3,758",963,"4,721"
Nevada,"3,203","1,082","4,285"
New Hampshire,"1,772","1,019","2,791"
New Jersey,"6,101","2,396","8,497"
New Mexico,"3,019",839,"3,858"
New York,"10,648","5,649","16,297"
North Carolina,"10,278","1,480","11,758"
North Dakota,"3,278","1,001","4,279"
Ohio,"11,441","4,711","16,152"
Oklahoma,"7,214","2,246","9,460"
Oregon,"6,511","2,181","8,692"
Pennsylvania,"15,640","3,897","19,537"
Rhode Island,"2,104","1,175","3,279"
South Carolina,"9,459","1,305","10,764"
South Dakota,"3,266","1,043","4,309"
Tennessee,"10,623","3,355","13,978"
Texas,"19,605","2,938","22,543"
Utah,"5,650","1,395","7,045"
Vermont,"2,797","1,087","3,884"
Virginia,"7,452","1,094","8,546"
Washington,"5,936","2,080","8,016"
West Virginia,"4,138","2,360","6,498"
Wisconsin,"7,526","2,259","9,785"
Wyoming,"1,637","1,164","2,801"
Puerto Rico,"7,280","1,210","8,490"
Guam,"1,244",431,"1,675"
District of Columbia,"1,360","1,221","2,581"
Virgin Islands,776,65,841
